sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
4248,48.8297966458491,-117.16678391543,United States,Washington,Pend Oreille,-8,0.196452005767822,0.624289574917287,18.1614545315406,3.1778223514556903
4249,48.8513919745007,-117.004805711576,United States,Idaho,Bonner,-8,4.17286845703125,13.0883148394014,48.3094480196478,3.136527061462408
4250,48.8728249108734,-116.842702717505,United States,Idaho,Boundary,-8,5.92473570556641,18.2762179145969,39.8743895911751,3.084731340408319
4251,48.8940952517388,-116.680475738019,United States,Idaho,Boundary,-8,1.3527,4.17651007783413,12.8785908986555,3.0875360965728764
4252,48.9152027949521,-116.518125582058,United States,Idaho,Boundary,-8,2.30339696044922,7.07914109523234,5.53102597104441,3.073348283767697
4253,48.9361473394634,-116.35565306268,United States,Idaho,Boundary,-8,13.8874598876953,41.5262765274659,2.49551298552221,2.990199565887453
4254,48.9569286853288,-116.193058997044,United States,Idaho,Boundary,-8,4.72130084838867,13.9361292351316,34.3678506346085,2.9517562389373797
4255,48.9775466337218,-116.030344206394,United States,Idaho,Boundary,-8,0.0162,0.0471564737319946,92.1171558007576,2.9108934402465807
4256,48.9980009869443,-115.867509516038,United States,Montana,Lincoln,-7,0.0324,0.090669316291809,102.213694757324,2.798435688018796
4599,48.0396649342436,-121.762382647131,United States,Washington,Snohomish,-8,0.0263519999742507,0.0632531146041788,18.8196882964492,2.4003155231475883
4600,48.0658293613002,-121.604597009675,United States,Washington,Snohomish,-8,0.21916799697876,0.530887212324336,26.4617402385381,2.422284364700314
4609,48.2942681220631,-120.17805847193,United States,Washington,Okanogan,-8,0.220320021629333,0.606058761051555,11.2612402512925,2.750811100006108
4611,48.3433012422834,-119.8594994814,United States,Washington,Okanogan,-8,21.63718828125,58.3307046231687,8.27205194208883,2.6958541870117183
4612,48.3675804166978,-119.700012822024,United States,Washington,Okanogan,-8,14.1550565185547,37.408235467451,1.07095454429505,2.64274716377258
4613,48.3917010412739,-119.54038901842,United States,Washington,Okanogan,-8,24.2552067626953,62.2951913332824,4.20286363288515,2.56832242012024
4614,48.4156628975715,-119.380628799921,United States,Washington,Okanogan,-8,33.7908625488281,86.9198395285469,9.35844804515672,2.572288274765018
4615,48.4394657680369,-119.22073290021,United States,Washington,Okanogan,-8,21.2422302246094,55.2487885919691,21.4003571337468,2.600893974304198
4616,48.4631094360141,-119.0607020573,United States,Washington,Okanogan,-8,24.9600788085938,64.4860156799721,37.3065129600133,2.5835661888122505
4617,48.4865936857562,-118.900537013532,United States,Washington,Okanogan,-8,7.76595607910156,20.1081505830406,28.8672532240603,2.589269161224371
4618,48.5099183024366,-118.740238515552,United States,Washington,Ferry,-8,3.58644605712891,9.49593780049426,20.554175310927,2.647729158401487
